"","address","housetype","totalprice","averageprice","floorspace","floor","age","parkingspace"
"1","
                                內湖區成功路五段451-480號
                            ","
辦公                            ","
                                5,700萬
                                                (含車位250萬)
                            ","
                                43.6萬
                            ","
135.65坪
                                        
                                                    (含車位10.53坪)
                            ","
14~14/16                            ","
15.4年
                            ","
有                            "
"2","
                                中山區建國北路二段121-150號
                            ","
店面                            ","
                                5,288萬","
                                94.7萬
                            ","
55.83坪
                            ","
1~1/12                            ","
29.5年
                            ","
無                            "
"3","
                                大安區信義路四段121-150號
                            ","
辦公                            ","
                                7,340萬","
                                85.0萬
                            ","
86.35坪
                            ","
3~3/12                            ","
35.6年
                            ","
無                            "
"4","
                                內湖區堤頂大道二段181-210號
                            ","
廠辦                            ","
                                6,600萬
                                                (含車位450萬)
                            ","
                                42.1萬
                            ","
176.01坪
                                        
                                                    (含車位29.84坪)
                            ","
4~4/8                            ","
18.6年
                            ","
有                            "
"5","
                                大同區延平北路三段1-30號
                            ","
辦公                            ","
                                4,000萬","
                                41.8萬
                            ","
95.62坪
                            ","
3~3/7                            ","
44.0年
                            ","
無                            "
"6","
                                松山區寶清街105巷1-30號
                            ","
店面                            ","
                                3,100萬","
                                44.7萬
                            ","
69.41坪
                            ","
-1~1/7                            ","
34.2年
                            ","
無                            "
"7","
                                萬華區中華路一段61-90號
                            ","
店面                            ","
                                980萬","
                                960.8萬
                            ","
1.02坪
                            ","
1~1/11                            ","
43.8年
                            ","
無                            "
"8","
                                萬華區中華路一段61-90號
                            ","
店面                            ","
                                1,740萬","
                                153.8萬
                            ","
11.31坪
                            ","
1~1/11                            ","
43.8年
                            ","
無                            "
"9","
                                信義區松德路271-300號
                            ","
店面                            ","
                                2,300萬","
                                76.9萬
                            ","
29.91坪
                            ","
1~1/5                            ","
37.1年
                            ","
無                            "
"10","
                                南港區重陽路190巷12弄1-30號
                            ","
工廠                            ","
                                1,680萬","
                                42.7萬
                            ","
39.36坪
                            ","
1~1/5                            ","
26.2年
                            ","
無                            "
"11","
                                士林區中山北路五段811巷31-60號
                                    
                                    格局：4房(室)2廳2衛","
                                    華廈
                            ","
                                3,880萬
                                                (含車位250萬)
                            ","
                                77.9萬
                            ","
57.47坪
                                        
                                                    (含車位10.86坪)
                            ","
6~6/8                            ","
25.7年
                            ","
有                            "
"12","
                                北投區中央北路一段179巷1-30號
                                    
                                    格局：2房(室)1廳1衛","
                                    華廈
                            ","
                                1,110萬
                                                (含車位150萬)
                            ","
                                49.8萬
                            ","
29.23坪
                                        
                                                    (含車位9.95坪)
                            ","
6~6/10                            ","
19.5年
                            ","
有                            "
"13","
                                內湖區成功路四段30巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                2,000萬","
                                58.9萬
                            ","
33.97坪
                            ","
2~2/10                            ","
22.0年
                            ","
無                            "
"14","
                                中正區汀州路二段255巷5弄1-30號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                1,950萬","
                                55.4萬
                            ","
35.20坪
                            ","
6~6/7                            ","
32.1年
                            ","
無                            "
